管理番号,管理名称,管理担当部課名,組織管理区分１名,利用者名,設置場所,設置場所詳細
24GA1C5830,EPC-iSIMローミングStep2_2503#1,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24GA1Y0541,2号館(WC201)コンセント設置工事,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24GA2A6662,対向_IPNF_IPv4v6混在ライセンス,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24GA2Z1800,ECO_CUバンド切り替えライセンス,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24HA1C5531,EPC-iSIMローミングStep1_2503#1,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24HA1C5831,EPC-iSIMローミングStep2_2503#2,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24HA1X8893,対向_REBOX_TypeA_2503#1,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24HA1Y0542,2号館(EN401)コンセント設置工事,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24HA2A6653,対向_IPNF_IPv4v6混在ライセンス,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24HA2A6663,対向_IPNF_IPv4v6混在ライセンス,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24HA2M8782,NOKIA-CU_先行局25_1,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24JA0L2114,交換AR渡り_WN401_WC602,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24JA1C5532,EPC-iSIMローミングStep1_2503#2,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24JA1C5832,EPC-iSIMローミングStep2_2503#3,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24JA1E1380,EPC-iSIMローミングStep3_2503#4,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24JA1X8894,対向_REBOX_TypeA_2503#2,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24JA2A6654,対向_IPNF_IPv4v6混在ライセンス,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24JA2A6664,対向_IPNF_IPv4v6混在ライセンス,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24KA143351,DuoSIM-5G DeltaConfig対応SW,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24KA1C5533,EPC-iSIMローミングStep1_2503#3,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24KA1C5833,EPC-iSIMローミングStep2_2503#4,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24KA1E1381,EPC-iSIMローミングStep3_2503#5,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24KA1X8895,対向_REBOX_TypeA_2503#3,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24KA258740,海外商用_EPC-iLoad_SW_L1L2,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24KA2A6655,対向_IPNF_IPv4v6混在ライセンス,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24KA2Z1793,ECO_CUバンド切り替えライセンス,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24LA0M8525,ｖＲＡＮ用ＢＤＥ設置工事,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
